algorithm,k,tq:q,recall,precision
kashif,nok,t1793:c0,1.0,1.0
kashif,nok,t3967:c0,1.0,1.0
kashif,nok,t7378:c9,1.0,1.0
kashif,nok,t7821:c1,1.0,1.0
kashif,nok,t8999:c1,1.0,0.06976744186046512
kashif,nok,t9136:c4,0.9217687074829932,0.3312958435207824
kashif,nok,t11627:c4,1.0,1.0
kashif,nok,t12886:c0,1.0,1.0
kashif,nok,t13388:c1,0.5789473684210527,0.2619047619047619
kashif,nok,t15192:c0,1.0,1.0
kashif,1,t1793:c0,1.0,1.0
kashif,1,t3967:c0,1.0,1.0
kashif,1,t7378:c9,1.0,1.0
kashif,1,t7821:c1,1.0,1.0
kashif,1,t8999:c1,1.0,0.08108108108108109
kashif,1,t9136:c4,0.0,0.0
kashif,1,t11627:c4,1.0,1.0
kashif,1,t12886:c0,1.0,1.0
kashif,1,t13388:c1,0.5263157894736842,0.29411764705882354
kashif,1,t15192:c0,1.0,1.0
kashif,10,t1793:c0,1.0,1.0
kashif,10,t3967:c0,1.0,1.0
kashif,10,t7378:c9,1.0,1.0
kashif,10,t7821:c1,1.0,1.0
kashif,10,t8999:c1,1.0,0.014150943396226415
kashif,10,t9136:c4,0.3707482993197279,0.8134328358208955
kashif,10,t11627:c4,1.0,1.0
kashif,10,t12886:c0,1.0,1.0
kashif,10,t13388:c1,1.0,0.19
kashif,10,t15192:c0,1.0,1.0
kashif,100,t1793:c0,1.0,1.0
kashif,100,t3967:c0,1.0,1.0
kashif,100,t7378:c9,1.0,1.0
kashif,100,t7821:c1,1.0,1.0
kashif,100,t8999:c1,1.0,0.003393665158371041
kashif,100,t9136:c4,0.9659863945578231,0.5419847328244275
kashif,100,t11627:c4,1.0,1.0
kashif,100,t12886:c0,1.0,1.0
kashif,100,t13388:c1,1.0,0.0778688524590164
kashif,100,t15192:c0,1.0,1.0
kashif,1000,t1793:c0,1.0,1.0
kashif,1000,t3967:c0,1.0,1.0
kashif,1000,t7378:c9,1.0,1.0
kashif,1000,t7821:c1,1.0,1.0
kashif,1000,t8999:c1,1.0,0.001266357112705783
kashif,1000,t9136:c4,1.0,0.1721311475409836
kashif,1000,t11627:c4,1.0,1.0
kashif,1000,t12886:c0,1.0,1.0
kashif,1000,t13388:c1,1.0,0.017690875232774673
kashif,1000,t15192:c0,1.0,1.0
