k;s;d;recall;
1;(7369,0,15);0.000000;0.000000;
2;(9175,0,15);0.000000;0.000000;
3;(10283,0,15);0.000000;0.000000;
4;(11835,0,2);0.000000;0.000000;
5;(13459,0,15);0.000000;0.000000;
6;(19230,0,15);0.000000;0.000000;
7;(21879,0,5);0.000000;0.000000;
8;(24739,0,15);0.000000;0.000000;
9;(24806,0,13);0.000000;0.000000;
10;(24922,0,15);0.000000;0.000000;
11;(25818,0,3);0.000000;0.000000;
12;(28086,0,13);0.000000;0.000000;
13;(29659,0,0);0.000000;0.000000;
14;(30131,0,0);0.000000;0.000000;
15;(33418,0,15);0.000000;0.000000;
16;(33929,0,15);0.000000;0.000000;
17;(39552,0,8);0.000000;0.000000;
18;(39817,0,15);0.000000;0.055556;
19;(40000,0,15);0.000000;0.052632;
20;(41279,0,6);0.000000;0.050000;
21;(43003,0,15);0.000000;0.047619;
22;(44001,0,13);0.000000;0.045455;
23;(44856,0,15);0.000000;0.043478;
24;(45089,0,15);0.000000;0.041667;
25;(49783,0,15);0.000000;0.040000;
26;(51320,0,2);0.000000;0.038462;
27;(52426,0,15);0.000000;0.037037;
28;(52897,0,15);0.000000;0.035714;
29;(55222,0,2);0.000000;0.034483;
30;(56589,0,1);0.000000;0.033333;
31;(56776,0,2);0.000000;0.032258;
32;(57556,0,13);0.000000;0.031250;
33;(57970,0,13);0.000000;0.030303;
34;(58987,0,1);0.000000;0.029412;
35;(60313,0,15);0.000000;0.028571;
36;(62478,0,0);0.000000;0.027778;
37;(63230,0,15);0.000000;0.027027;
38;(63336,0,15);0.000000;0.026316;
39;(67111,0,0);0.000000;0.025641;
40;(71688,0,15);0.000000;0.025000;
41;(72376,0,15);0.000000;0.024390;
42;(73884,0,15);0.000000;0.023810;
43;(76199,0,15);0.000000;0.023256;
44;(76342,0,15);0.000000;0.022727;
45;(77902,0,15);0.000000;0.022222;
46;(80206,0,15);0.000000;0.021739;
47;(81745,0,0);0.000000;0.021277;
48;(81912,0,15);0.000000;0.020833;
49;(81954,0,13);0.000000;0.020408;
50;(84560,0,2);0.000000;0.020000;
51;(84990,0,15);0.000000;0.019608;
52;(89308,0,0);0.000000;0.019231;
53;(90374,0,15);0.000000;0.018868;
54;(93015,0,15);0.000000;0.018519;
55;(93810,0,5);0.000000;0.018182;
56;(94215,0,5);0.000000;0.017857;
57;(94690,0,15);0.000000;0.017544;
58;(95334,0,0);0.000000;0.017241;
59;(95924,0,0);0.000000;0.016949;
60;(97547,0,0);0.000000;0.016667;
61;(97734,0,0);0.000000;0.016393;
62;(98422,0,15);0.000000;0.016129;
63;(98709,0,0);0.000000;0.015873;
64;(101817,0,2);0.000000;0.015625;
65;(108294,0,1);0.000000;0.015385;
66;(108304,0,10);0.000000;0.015152;
67;(109750,0,15);0.000000;0.014925;
68;(111791,0,0);0.000000;0.014706;
69;(112949,0,15);0.000000;0.014493;
70;(115292,0,2);0.000000;0.014286;
71;(45717,0,4);0.089391;0.014085;
72;(110308,0,31);0.089391;0.013889;
73;(7369,0,16);0.189216;0.013699;
74;(9175,0,16);0.189216;0.013514;
75;(10283,0,16);0.189216;0.013333;
76;(11835,0,3);0.189216;0.013158;
77;(13459,0,16);0.189216;0.012987;
78;(19230,0,16);0.189216;0.025641;
79;(21879,0,6);0.189216;0.025316;
80;(24739,0,16);0.189216;0.025000;
81;(24806,0,14);0.189216;0.024691;
82;(24922,0,16);0.189216;0.024390;
83;(28086,0,14);0.189216;0.024096;
84;(29659,0,1);0.189216;0.023810;
85;(30131,0,1);0.189216;0.023529;
86;(33418,0,16);0.189216;0.023256;
87;(33929,0,16);0.189216;0.022989;
88;(39552,0,9);0.189216;0.022727;
89;(39817,0,16);0.189216;0.022472;
90;(40000,0,16);0.189216;0.022222;
91;(41279,0,7);0.189216;0.021978;
92;(43003,0,16);0.189216;0.021739;
93;(44001,0,14);0.189216;0.021505;
94;(44856,0,16);0.189216;0.021277;
95;(45089,0,16);0.189216;0.021053;
96;(49783,0,16);0.189216;0.020833;
97;(51320,0,3);0.189216;0.020619;
98;(52426,0,16);0.189216;0.020408;
99;(52897,0,16);0.189216;0.020202;
100;(55222,0,3);0.189216;0.020000;
101;(56589,0,2);0.189216;0.019802;
102;(56776,0,3);0.189216;0.019608;
103;(57556,0,14);0.189216;0.019417;
104;(57970,0,14);0.189216;0.019231;
105;(58987,0,2);0.189216;0.019048;
106;(60313,0,16);0.189216;0.018868;
107;(62478,0,1);0.189216;0.018692;
108;(63230,0,16);0.189216;0.018519;
109;(63336,0,16);0.189216;0.018349;
110;(64619,0,0);0.189216;0.018182;
111;(67111,0,1);0.189216;0.018018;
112;(71688,0,16);0.189216;0.017857;
113;(72376,0,16);0.189216;0.017699;
114;(73884,0,16);0.189216;0.017544;
115;(76199,0,16);0.189216;0.017391;
116;(76342,0,16);0.189216;0.017241;
117;(77902,0,16);0.189216;0.017094;
118;(80206,0,16);0.189216;0.016949;
119;(81745,0,1);0.189216;0.016807;
120;(81912,0,16);0.189216;0.016667;
121;(81954,0,14);0.189216;0.016529;
122;(84560,0,3);0.189216;0.016393;
123;(84990,0,16);0.189216;0.016260;
124;(89308,0,1);0.189216;0.016129;
125;(90374,0,16);0.189216;0.016000;
126;(93015,0,16);0.189216;0.015873;
127;(93810,0,6);0.189216;0.015748;
128;(94215,0,6);0.189216;0.015625;
129;(94690,0,16);0.189216;0.015504;
130;(95334,0,1);0.189216;0.015385;
131;(95924,0,1);0.189216;0.015267;
132;(97547,0,1);0.189216;0.015152;
133;(97734,0,1);0.189216;0.015038;
134;(98422,0,16);0.189216;0.014925;
135;(98709,0,1);0.189216;0.014815;
136;(100548,0,0);0.189216;0.014706;
137;(101817,0,3);0.189216;0.014599;
138;(108294,0,2);0.189216;0.014493;
139;(108304,0,11);0.189216;0.014388;
140;(109750,0,16);0.189216;0.014286;
141;(111791,0,1);0.189216;0.014184;
142;(112949,0,16);0.189216;0.014085;
143;(115292,0,3);0.189216;0.013986;
144;(65326,3,13);0.211208;0.013889;
145;(3181,2,8);0.218958;0.013793;
146;(45717,0,5);0.220485;0.013699;
147;(110308,0,32);0.220485;0.013605;
148;(78503,2,95);0.220692;0.013514;
149;(89994,2,95);0.220692;0.013423;
150;(39519,5,1);0.222066;0.013333;
151;(18987,0,0);0.222282;0.013245;
152;(75369,8,5);0.222282;0.013158;
153;(53396,7,31);0.227183;0.013072;
154;(69405,0,4);0.230418;0.012987;
155;(53046,1,623);0.230510;0.012903;
156;(16154,0,2);0.234830;0.012821;
157;(38065,0,3);0.234830;0.012739;
158;(67362,0,3);0.234830;0.012658;
159;(101865,6,4);0.234830;0.012579;
160;(108905,0,3);0.234830;0.012500;
161;(95549,0,6);0.237760;0.012422;
162;(30065,2,25);0.242550;0.012346;
163;(5420,1,1);0.242843;0.012270;
164;(104472,1,40);0.245748;0.012195;
165;(35957,0,67);0.246416;0.012121;
166;(65907,0,36);0.246416;0.012048;
167;(72782,0,12);0.246416;0.011976;
168;(92767,0,12);0.246416;0.011905;
169;(42792,1,2);0.247940;0.011834;
170;(81571,0,21);0.249825;0.011765;
171;(53095,1,2);0.251013;0.011696;
172;(105565,1,2);0.251013;0.011628;
173;(30065,2,16);0.251096;0.011561;
174;(114084,1,3);0.252705;0.011494;
175;(89954,3,2);0.253829;0.011429;
176;(30065,2,24);0.254750;0.011364;
177;(65326,3,14);0.254750;0.011299;
178;(955,2,3);0.257678;0.011236;
179;(30065,2,21);0.258040;0.011173;
180;(53046,1,436);0.259817;0.011111;
181;(30065,2,20);0.261368;0.011050;
182;(40669,7,20);0.261951;0.010989;
183;(94174,1,1);0.262153;0.010929;
184;(107410,3,15);0.263404;0.010870;
185;(76044,3,1242);0.263445;0.010811;
186;(63714,3,111);0.264209;0.010753;
187;(109458,1,14);0.264609;0.010695;
188;(114084,1,2);0.264609;0.010638;
189;(30065,2,26);0.265193;0.010582;
190;(4962,0,0);0.265925;0.010526;
191;(30618,0,0);0.265925;0.010471;
192;(108517,0,0);0.265925;0.010417;
193;(53043,0,100);0.267751;0.010363;
194;(22926,0,0);0.267753;0.010309;
195;(53046,1,424);0.269077;0.010256;
196;(76044,3,621);0.269124;0.010204;
197;(5867,3,4);0.269198;0.010152;
198;(56588,2,16);0.269479;0.010101;
199;(110308,0,4);0.269558;0.010050;
200;(100609,4,9);0.270330;0.010000;
