k,#insert_nn,#get_ith_nn,#get_kth_nn
10,29977,59097,22554070
10,57009,116980,35307243
10,87704,175412,49971144
10,120188,235037,63762854
10,152171,288997,78166916
10,262982,332708,89219414
10,305839,417022,115822667
10,333818,487088,135787499
10,366701,532931,148015614
50,82048,308624,23419931
50,163481,609853,38606039
50,248539,918125,56751906
50,337516,1234088,74376312
50,419320,1522044,87891006
50,578450,1743684,102428960
50,686678,2192526,133643218
50,776218,2573060,157753147
50,869507,2830946,172933027
50,975724,3157449,190670933
100,136409,638589,24504991
100,272041,1250471,40428419
100,410298,1880949,59148368
100,565854,2528834,77385520
100,710693,3114574,94921987
100,899402,3569260,109271411
100,1069046,4499389,145995794
100,1217307,5281420,171953644
100,1357508,5806144,188159710
100,1510015,6477059,211278794
500,438054,3430049,27943041
500,914657,6730029,51901090
500,1371623,10085423,80994914
500,1831500,13531360,108405334
500,2295302,16532627,128985439
500,2718518,18881598,147205262
500,3274076,23893414,192511218
500,3765533,28128653,231590740
500,4165640,30803447,249433064
500,4627935,34410135,277999939
5000,	3940645,	40962882,	117320780
5000,	7862414,	80103376,	220954942
5000,	11721430,	120630612,	339169794
5000,	15714020,	162148868,	454931332
5000,	19386258,	196949933,	555311042
5000,	22723439,	224742020,	648116516
5000,	27398584,	281138858,	812877985
5000,	31657954,	330107339,	951606536
5000,	35392750,	358446179,	1036553468
5000,	39407
10000,7479205,86270312,170659161
10000,14910169,168636874,326987950
10000,22284739,254448455,494564620
10000,29841383,341959360,663598284
10000,37025586,415856505,805208607
10000,43529413,474350949,921592832
10000,52293294,589974893,1151837879
10000,60428341,690780772,1344032055
10000,67407354,750106251,1469615628
10000,75004420,839661646,1634304615

